tenant_id,record_date,connected_once_users,activities,active_users,created_skills_endorsement_requests,created_skills_endorsements,created_forms,created_news,created_problems,created_skills,form_completions,modified_skills_endorsements,modified_forms,modified_news,modified_problems,modified_skills,views,workinstructions,divisions,plants,production_lines,work_stations,division_category,plant_category,production_line_category,work_station_category,country_category,record_day_name,record_month_name,record_year_month,record_year
90f5586d-9f2e-4d16-a36b-25363edd829c,2021-09-14,2272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,62,928,7209,5 and more Divisions,More than 50 Plants,More than 100 Prod.lines,More than 500 Work.stat,is_mixed_countries,Tuesday,September,2021-09,2021
8e2cfb59-09ce-4de4-960f-3ab50c6f87db,2021-09-14,495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,39,227,2 Divisions,11 to 20 Plants,31 to 50 Prod.lines,201 to 500 Work.stat,is_mixed_countries,Tuesday,September,2021-09,2021
a4ba6191-44a3-4399-bb55-302adef1e866,2021-09-14,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,20,47,2 Divisions,2 Plants,11 to 20 Prod.lines,26 to 50 Work.stat,is_only_canada,Tuesday,September,2021-09,2021
d4554319-4c47-4a0d-bf14-3456226e0193,2021-09-14,987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,98,396,2 Divisions,11 to 20 Plants,51 to 100 Prod.lines,201 to 500 Work.stat,is_can_and_usa,Tuesday,September,2021-09,2021
844591a4-2b9c-4a46-9c26-075df6c5dbd7,2021-09-14,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,42,149,2 Divisions,11 to 20 Plants,31 to 50 Prod.lines,101 to 200 Work.stat,is_only_canada,Tuesday,September,2021-09,2021
d9f3d2b2-48ea-49f5-b75e-0c0008831936,2021-09-14,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,26,64,58,4 Divisions,21 to 50 Plants,51 to 100 Prod.lines,51 to 100 Work.stat,is_only_canada,Tuesday,September,2021-09,2021
5f1b8397-479b-4a5d-98ca-aa31b31a0f56,2021-09-14,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,565,451,636,2 Divisions,More than 50 Plants,More than 100 Prod.lines,More than 500 Work.stat,is_can_and_usa,Tuesday,September,2021-09,2021
944bd0ff-91a2-4a90-b716-454692f039f0,2021-09-14,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,16,1 Division,2 Plants,1 to 10 Prod.lines,1 to 25 Work.stat,is_only_other_country,Tuesday,September,2021-09,2021
cdccc7ba-be09-4907-8e66-a3ed1386e196,2021-09-14,1139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,47,224,2 Divisions,5 to 10 Plants,31 to 50 Prod.lines,201 to 500 Work.stat,is_mixed_countries,Tuesday,September,2021-09,2021
07495683-0340-4d0d-aa6f-895666c5a8b1,2021-09-14,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,6,21,2 Divisions,2 Plants,1 to 10 Prod.lines,1 to 25 Work.stat,is_only_other_country,Tuesday,September,2021-09,2021
